INDEX,ADC_DATA
0,0.958984
1,0.322266
2,-0.59668
3,-0.93457
4,-0.458984
5,0.453125
6,0.978516
7,0.545898
8,-0.402344
9,-0.9375
10,-0.62793
11,0.241211
12,0.0283203
13,0.84668
14,0.867188
15,0.0419922
16,-0.78125
17,-0.871094
18,-0.198242
19,0.698242
20,0.955078
21,0.279297
22,-0.616211
23,-0.919922
24,-0.427734
25,0.490234
26,-0.420898
27,-0.931641
28,-0.615234
29,0.242188
30,0.927734
31,0.730469
32,-0.177734
33,-0.888672
34,-0.758789
35,0.0410156
36,0.842773
37,0.862305
38,0.0478516
39,-0.777344
40,-0.869141
41,-0.207031
42,0.685547
43,0.952148
44,0.286133
45,-0.619141
46,-0.927734
47,-0.429688
48,0.498047
49,0.988281
50,0.511719
51,-0.423828
52,-0.925781
53,-0.616211
54,0.255859
55,0.93457
56,0.71582
57,-0.19043
58,-0.876953
59,-0.772461
60,0.0107422
61,0.832031
62,0.886719
63,0.0664062
64,-0.782227
65,-0.878906
66,-0.198242
67,0.6875
68,0.950195
69,0.290039
70,-0.616211
71,-0.929688
72,-0.425781
73,0.485352
74,0.978516
75,0.522461
76,-0.414062
77,-0.933594
78,-0.619141
79,0.255859
80,0.946289
81,0.719727
82,-0.192383
83,-0.878906
84,-0.765625
85,0.0126953
86,0.838867
87,0.871094
88,0.0507812
89,-0.772461
90,-0.875
91,-0.230469
92,0.65918
93,0.963867
94,0.327148
95,-0.612305
96,-0.935547
97,-0.416992
98,0.498047
99,0.973633
100,0.519531
101,-0.415039
102,-0.927734
103,-0.619141
104,0.250977
105,0.936523
106,0.726562
107,-0.18457
108,-0.883789
109,-0.776367
110,0.015625
111,0.844727
112,0.874023
113,0.0488281
114,-0.764648
115,-0.871094
116,-0.224609
117,0.674805
118,0.962891
119,0.303711
120,-0.610352
121,-0.927734
122,-0.431641
123,0.460938
124,0.976562
125,0.557617
126,-0.394531
127,-0.9375
128,-0.616211
129,0.259766
130,0.93457
131,0.71582
132,-0.181641
133,-0.874023
134,-0.770508
135,0.0107422
136,0.837891
137,0.874023
138,0.0595703
139,-0.774414
140,-0.878906
141,-0.222656
142,0.683594
143,0.963867
144,0.302734
145,-0.602539
146,-0.919922
147,-0.443359
148,0.46875
149,0.981445
150,0.536133
151,-0.401367
152,-0.925781
153,-0.630859
154,0.226562
155,0.920898
156,0.743164
157,-0.160156
158,-0.880859
159,-0.776367
160,0.0205078
161,0.833984
162,0.87207
163,0.0634766
164,-0.766602
165,-0.87793
166,-0.219727
167,0.674805
168,0.954102
169,0.306641
170,-0.59668
171,-0.928711
172,-0.443359
173,0.478516
174,0.987305
175,0.52832
176,-0.401367
177,-0.922852
178,-0.62793
179,0.236328
180,0.931641
181,0.732422
182,-0.175781
183,-0.87793
184,-0.776367
185,-0.00976562
186,0.80957
187,0.889648
188,0.0927734
189,-0.769531
190,-0.880859
191,-0.21582
192,0.675781
193,0.953125
194,0.30957
195,-0.602539
196,-0.926758
197,-0.439453
198,0.46875
199,0.976562
200,0.537109
201,-0.40332
202,-0.93457
203,-0.633789
204,0.243164
205,0.939453
206,0.727539
207,-0.178711
208,-0.867188
209,-0.779297
210,-0.0107422
211,0.830078
212,0.884766
213,0.0761719
214,-0.754883
215,-0.880859
216,-0.239258
217,0.650391
218,0.96875
219,0.333984
220,-0.602539
221,-0.935547
222,-0.428711
223,0.481445
224,0.976562
225,0.535156
226,-0.400391
227,-0.928711
228,-0.62793
229,0.235352
230,0.933594
231,0.730469
232,-0.172852
233,-0.874023
234,-0.773438
235,0.00390625
236,0.834961
237,0.879883
238,0.0644531
239,-0.763672
240,-0.87207
241,-0.235352
242,0.654297
243,0.950195
244,0.320312
245,-0.597656
246,-0.93457
247,-0.452148
248,0.450195
249,0.972656
250,0.561523
251,-0.390625
252,-0.9375
253,-0.625
254,0.250977
255,0.925781
256,0.725586
257,-0.175781
258,-0.875
259,-0.779297
260,0
261,0.828125
262,0.875977
263,0.0693359
264,-0.763672
265,-0.883789
266,-0.226562
267,0.677734
268,0.960938
269,0.300781
270,-0.601562
271,-0.918945
272,-0.442383
273,0.454102
274,0.96582
275,0.541016
276,-0.390625
277,-0.931641
278,-0.637695
279,0.219727
280,0.921875
281,0.754883
282,-0.152344
283,-0.881836
