INDEX,ADC_DATA
0,0.958984
1,0.897193
2,0.754502
3,0.555488
4,0.322266
5,0.074485
6,-0.17067
7,-0.398477
8,-0.59668
9,-0.755119
10,-0.867065
11,-0.927696
12,-0.93457
13,-0.884839
14,-0.785362
15,-0.641156
16,-0.458984
17,-0.235417
18,-0.000137224
19,0.233501
20,0.453125
21,0.660367
22,0.823624
23,0.931989
24,0.978516
25,0.951205
26,0.865707
27,0.727984
28,0.545898
29,0.312405
30,0.0665356
31,-0.176227
32,-0.402344
33,-0.603971
34,-0.765335
35,-0.878293
36,-0.9375
37,-0.951343
38,-0.902275
39,-0.792103
40,-0.62793
41,-0.334809
42,-0.0727006
43,0.125412
44,0.241211
45,0.139504
46,0.0455398
47,3.86052e-05
48,0.0283203
49,0.238121
50,0.464661
51,0.675881
52,0.84668
53,0.943779
54,0.980645
55,0.954781
56,0.867188
57,0.705076
58,0.504601
59,0.279234
60,0.0419922
61,-0.204573
62,-0.432045
63,-0.627623
64,-0.78125
65,-0.883325
66,-0.932999
67,-0.928705
68,-0.871094
69,-0.758867
70,-0.603912
71,-0.414018
72,-0.198242
73,0.0483819
74,0.289368
75,0.510113
76,0.698242
77,0.851052
78,0.948501
79,0.984048
80,0.955078
81,0.847404
82,0.691521
83,0.498375
84,0.279297
85,0.0339385
86,-0.205948
87,-0.426496
88,-0.616211
89,-0.765406
90,-0.868256
91,-0.92045
92,-0.919922
93,-0.889243
94,-0.794357
95,-0.637366
96,-0.427734
97,-0.0734404
98,0.22406
99,0.420776
100,0.490234
101,0.316031
102,0.081711
103,-0.17437
104,-0.420898
105,-0.614974
106,-0.769699
107,-0.877013
108,-0.931641
109,-0.926201
110,-0.86895
111,-0.763526
112,-0.615234
113,-0.423718
114,-0.209548
115,0.016132
116,0.242188
117,0.472546
118,0.67157
119,0.826427
120,0.927734
121,0.967051
122,0.945969
123,0.865733
124,0.730469
125,0.530069
126,0.302269
127,0.0617771
128,-0.177734
129,-0.41302
130,-0.617172
131,-0.778544
132,-0.888672
133,-0.936847
134,-0.929802
135,-0.869236
136,-0.758789
137,-0.597536
138,-0.403602
139,-0.187197
140,0.0410156
141,0.284421
142,0.507827
143,0.697552
144,0.842773
145,0.937965
146,0.97406
147,0.94854
148,0.862305
149,0.703368
150,0.50602
151,0.283278
152,0.0478516
153,-0.198875
154,-0.426872
155,-0.6231
156,-0.777344
157,-0.879146
158,-0.928948
159,-0.925365
160,-0.869141
161,-0.759536
162,-0.607414
163,-0.420303
164,-0.207031
165,0.0373581
166,0.276863
167,0.497029
168,0.685547
169,0.839951
170,0.939697
171,0.978042
172,0.952148
173,0.84843
174,0.695724
175,0.504588
176,0.286133
177,0.0388932
178,-0.203514
179,-0.426805
180,-0.619141
181,-0.77046
182,-0.874901
183,-0.928037
184,-0.927734
185,-0.872498
186,-0.767471
187,-0.617586
188,-0.429688
189,-0.198388
190,0.0425871
191,0.279029
192,0.498047
193,0.700021
194,0.85524
195,0.953408
196,0.988281
197,0.946517
198,0.848129
199,0.700301
200,0.511719
201,0.2772
202,0.0334703
203,-0.20452
204,-0.423828
205,-0.615443
206,-0.767318
207,-0.872325
208,-0.925781
209,-0.923403
210,-0.868751
211,-0.764727
212,-0.616211
213,-0.420518
214,-0.202034
215,0.0273277
216,0.255859
217,0.486789
218,0.684814
219,0.837146
220,0.93457
221,0.967734
222,0.940597
223,0.855078
224,0.71582
225,0.512531
226,0.284057
227,0.0452305
228,-0.19043
229,-0.416659
230,-0.612885
231,-0.768846
232,-0.876953
233,-0.92963
234,-0.928947
235,-0.875629
236,-0.772461
237,-0.618069
238,-0.429504
239,-0.216457
240,0.0107422
241,0.255826
242,0.483238
243,0.679044
244,0.832031
245,0.938128
246,0.98436
247,0.967166
248,0.886719
249,0.729464
250,0.531464
251,0.306078
252,0.0664062
253,-0.186477
254,-0.42083
255,-0.622986
256,-0.782227
257,-0.888098
258,-0.940155
259,-0.936834
260,-0.878906
261,-0.763634
262,-0.605972
263,-0.414361
264,-0.198242
265,0.045345
266,0.283135
267,0.501155
268,0.6875
269,0.839985
270,0.938354
271,0.976017
272,0.950195
273,0.848008
274,0.696976
275,0.507356
276,0.290039
277,0.043282
278,-0.19915
279,-0.42295
280,-0.616211
281,-0.769775
282,-0.875962
283,-0.930023
284,-0.929688
285,-0.871412
286,-0.764
287,-0.61305
288,-0.425781
289,-0.198918
